Name,Sequence Accession,Complete Genome,Segment,Segment Length,Subtype,Collection Date,Host Species,Country,State/Province,Flu Season,Strain Name
PB2,CY083917,Yes,1,2316,H1N1,11/23/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aalborg/INS132/2009(H1N1)
PB2,CY063613,Yes,1,2293,H1N1,12/02/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aalborg/INS133/2009(H1N1)
PB2,CY083782*,No,1,2316,H1N1,11/25/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aalborg/INS282/2009
PB2,CY073732,Yes,1,2293,H1N1,12/07/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aalborg/INS283/2009(H1N1)
PB2,CY062698,Yes,1,2293,H1N1,11/24/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS116/2009(H1N1)
PB2,CY062706,Yes,1,2293,H1N1,11/27/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS118/2009(H1N1)
PB2,CY066942,Yes,1,2293,H1N1,11/19/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS236/2009(H1N1)
PB2,CY066950,Yes,1,2293,H1N1,11/23/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS237/2009(H1N1)
PB2,CY066958,Yes,1,2293,H1N1,11/24/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS238/2009(H1N1)
PB2,CY066966,Yes,1,2293,H1N1,11/26/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS240/2009(H1N1)
PB2,CY066974,Yes,1,2293,H1N1,11/26/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS241/2009(H1N1)
PB2,CY066982,Yes,1,2293,H1N1,11/24/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS242/2009(H1N1)
PB2,CY067038,Yes,1,2293,H1N1,11/21/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS251/2009
PB2,CY067046,Yes,1,2293,H1N1,11/21/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS252/2009(H1N1)
PB2,CY067054,Yes,1,2293,H1N1,11/22/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS253/2009(H1N1)
PB2,CY067062,Yes,1,2293,H1N1,11/28/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS254/2009(H1N1)
PB2,CY176577,Yes,1,2316,H1N1,01/25/2011,IRD:Human,Denmark,-N/A-,11-Oct,A/Aarhus/INS3_653/2011
PB2,CY176585,Yes,1,2316,H1N1,01/14/2011,IRD:Human,Denmark,-N/A-,11-Oct,A/Aarhus/INS3_654/2011
PB2,CY176593,Yes,1,2316,H1N1,02/07/2011,IRD:Human,Denmark,-N/A-,11-Oct,A/Aarhus/INS3_655/2011
PB2,CY129917,Yes,1,2293,H1N1,01/25/2011,IRD:Human,Denmark,-N/A-,11-Oct,A/Aarhus/INS609/2011
PB2,CY129925,Yes,1,2293,H1N1,01/21/2011,IRD:Human,Denmark,-N/A-,11-Oct,A/Aarhus/INS610/2011
PB2,CY129933,Yes,1,2293,H1N1,01/19/2011,IRD:Human,Denmark,-N/A-,11-Oct,A/Aarhus/INS612/2011
PB2,CY129941,Yes,1,2293,H1N1,01/20/2011,IRD:Human,Denmark,-N/A-,11-Oct,A/Aarhus/INS613/2011
PB2,CY129949,Yes,1,2293,H1N1,02/04/2011,IRD:Human,Denmark,-N/A-,11-Oct,A/Aarhus/INS615/2011
PB2,CY056954,Yes,1,2286,H1N1,11/20/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS82/2009(H1N1)
PB2,CY071823*,No,1,2280,H1N1,12/01/2009,IRD:Human,Ethiopia,-N/A-,-N/A-,A/Addis Ababa/WR2848T/2009(H1N1)
PB2,KJ729372,No,1,2297,H11N2,02/02/2013,IRD:null,Antarctica,-N/A-,-N/A-,A/Adelie penguin/Antarctica/178/2013
PB2,KJ729356,No,1,2297,H11N2,02/03/2013,IRD:null,Antarctica,-N/A-,-N/A-,A/Adelie penguin/Antarctica/184/2013
PB2,KJ729364,No,1,2297,H11N2,02/08/2013,IRD:null,Antarctica,-N/A-,-N/A-,A/Adelie penguin/Antarctica/226/2013
PB2,KJ729348,No,1,2297,H11N2,02/10/2013,IRD:Penguin/Avian,Antarctica,-N/A-,-N/A-,A/Adelie penguin/Antarctica/270/2013
PB2,AY724256,No,1,2341,H7N1,1979,IRD:African Starling/Avian,United Kingdom,-N/A-,-N/A-,A/African starling/England-Q/983/1979
PB2,AB753214,Yes,1,2309,H9N2,11/2009,IRD:African Stonechat/Avian,Viet Nam,-N/A-,-N/A-,A/African Stonechat/Vietnam/8/2009
PB2,GU136058,No,1,2280,H1N1,06/15/2009,IRD:Human,Japan,-N/A-,09-Aug,A/Aichi/198/2009(H1N1)
PB2,GU136059,Yes,1,2280,H1N1,06/16/2009,IRD:Human,Japan,-N/A-,09-Aug,A/Aichi/202/2009(H1N1)
PB2,GQ365417,Yes,1,2280,H1N1,06/11/2009,IRD:Human,Japan,-N/A-,09-Aug,A/Akita/1/2009(H1N1)
PB2,U71132,No,1,2280,H3N2,1994,IRD:Human,Japan,-N/A-,-N/A-,A/Akita/1/94
PB2,U71133,No,1,2280,H3N2,1995,IRD:Human,Japan,-N/A-,-N/A-,A/Akita/1/95
PB2,CY113964,Yes,1,2314,H3N2,1993,IRD:Human,Japan,-N/A-,-N/A-,A/Akita/4/1993
